type,symbol,name,qty,avgBuyPrice,currentPrice,currentValue,category,investedAmount,buyDate
stock,RELIANCE,Reliance Industries Ltd,50,2450,2980,149000,,,2023-04-15
stock,TCS,Tata Consultancy Services,25,3200,3845,96125,,,2022-11-20
stock,HDFCBANK,HDFC Bank Ltd,100,1420,1530,153000,,,2022-08-10
stock,INFY,Infosys Ltd,80,1350,1580,126400,,,2023-01-05
stock,ICICIBANK,ICICI Bank Ltd,120,850,975,117000,,,2022-06-22
stock,BAJFINANCE,Bajaj Finance Ltd,15,6800,7250,108750,,,2023-07-18
stock,ITC,ITC Ltd,200,385,425,85000,,,2021-12-01
stock,SBIN,State Bank of India,150,520,585,87750,,,2023-03-10
stock,HINDUNILVR,Hindustan Unilever Ltd,40,2350,2580,103200,,,2022-05-14
stock,MARUTI,Maruti Suzuki India Ltd,10,9500,10250,102500,,,2023-09-02
mf,,HDFC Flexi Cap Fund Direct Growth,,,,125000,Flexi Cap,100000,2022-03-15
mf,,Parag Parikh Flexi Cap Fund Direct,,,,180000,Flexi Cap,150000,2021-10-08
mf,,Axis Bluechip Fund Direct Growth,,,,95000,Large Cap,80000,2022-07-20
mf,,ICICI Prudential Bluechip Fund Direct,,,,110000,Large Cap,90000,2023-02-14
mf,,Mirae Asset Large Cap Fund Direct,,,,88000,Large Cap,75000,2022-12-01
mf,,SBI Small Cap Fund Direct Growth,,,,145000,Small Cap,120000,2021-08-25
mf,,Axis Small Cap Fund Direct,,,,132000,Small Cap,110000,2022-04-10
mf,,DSP Midcap Fund Direct Growth,,,,92000,Mid Cap,85000,2023-06-01
